# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-346.80049139	-0.03479285
-346.76713498	-0.01818136
-346.73377857	0.00678853
-346.70042216	0.03779814
-346.66706575	0.06862518
-346.63370934	0.09389796
-346.60035293	0.10679649
-346.56699653	0.10561887
-346.53364012	0.09005351
-346.50028371	0.06149867
-346.46692730	0.02483791
-346.43357089	-0.01631596
-346.40021448	-0.05514280
-346.36685807	-0.08799775
-346.33350166	-0.11048043
-346.30014525	-0.12306558
-346.26678884	-0.12514690
-346.23343243	-0.11706672
-346.20007602	-0.09869775
-346.16671961	-0.07051600
-346.13336320	-0.03488301
-346.10000679	0.00638822
-346.06665038	0.04776996
-346.03329397	0.08880051
-345.99993756	0.12808668
-345.96658115	0.16787908
-345.93322474	0.20836401
-345.89986833	0.25183658
-345.86651193	0.29470089
-345.83315552	0.33242214
-345.79979911	0.35445998
-345.76644270	0.35418744
-345.73308629	0.32681849
-345.69972988	0.27080578
-345.66637347	0.19084372
-345.63301706	0.09041899
-345.59966065	-0.01842675
-345.56630424	-0.12777155
-345.53294783	-0.22293219
-345.49959142	-0.30038181
-345.46623501	-0.35388466
-345.43287860	-0.38242310
-345.39952219	-0.38566726
-345.36616578	-0.36579458
-345.33280937	-0.32733804
-345.29945296	-0.27640596
-345.26609655	-0.22338950
-345.23274014	-0.17330953
-345.19938373	-0.13181419
-345.16602733	-0.09883434
-345.13267092	-0.07292535
-345.09931451	-0.04849498
-345.06595810	-0.02118791
-345.03260169	0.01254951
-344.99924528	0.05021668
-344.96588887	0.08918685
-344.93253246	0.12332416
-344.89917605	0.14809796
-344.86581964	0.15939076
-344.83246323	0.15580912
-344.79910682	0.13903761
-344.76575041	0.11316885
-344.73239400	0.08622449
-344.69903759	0.06314388
-344.66568118	0.04769133
-344.63232477	0.03981149
-344.59896836	0.03750816
-344.56561195	0.03713981
-344.53225554	0.03562096
-344.49889914	0.03120346
-344.46554273	0.02543004
-344.43218632	0.02065399
