# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-346.30014525	0.03267947
-346.26678884	0.03930938
-346.23343243	0.04515098
-346.20007602	0.04953191
-346.16671961	0.05253562
-346.13336320	0.05324572
-346.10000679	0.05136195
-346.06665038	0.04663315
-346.03329397	0.03939623
-345.99993756	0.03062413
-345.96658115	0.02111918
-345.93322474	0.01214702
-345.89986833	0.00419522
-345.86651193	-0.00204566
-345.83315552	-0.00666820
-345.79979911	-0.00993467
-345.76644270	-0.01246045
-345.73308629	-0.01434897
-345.69972988	-0.01592551
-345.66637347	-0.01739805
-345.63301706	-0.01890768
-345.59966065	-0.02053174
-345.56630424	-0.02292254
-345.53294783	-0.02589422
-345.49959142	-0.02951804
-345.46623501	-0.03334691
-345.43287860	-0.03680633
-345.39952219	-0.03936204
-345.36616578	-0.04082412
-345.33280937	-0.04059503
-345.29945296	-0.03831253
-345.26609655	-0.03485706
-345.23274014	-0.03034974
-345.19938373	-0.02549012
-345.16602733	-0.02008547
-345.13267092	-0.01433459
-345.09931451	-0.00778366
-345.06595810	-0.00064882
-345.03260169	0.00712180
-344.99924528	0.01463117
-344.96588887	0.02118866
-344.93253246	0.02601623
-344.89917605	0.02866444
-344.86581964	0.02920214
-344.83246323	0.02798129
-344.79910682	0.02569991
-344.76575041	0.02275231
-344.73239400	0.01973209
-344.69903759	0.01685023
-344.66568118	0.01456276
-344.63232477	0.01301507
-344.59896836	0.01240090
-344.56561195	0.01328007
-344.53225554	0.01514286
-344.49889914	0.01814046
-344.46554273	0.02118406
-344.43218632	0.02416189
-344.39882991	0.02651248
-344.36547350	0.02840159
-344.33211709	0.02982787
-344.29876068	0.03062259
-344.26540427	0.03106392
-344.23204786	0.03063375
-344.19869145	0.02963274
-344.16533504	0.02794174
-344.13197863	0.02601148
-344.09862222	0.02429810
-344.06526581	0.02261457
-344.03190940	0.02109734
-343.99855299	0.01987078
-343.96519658	0.01905845
-343.93184017	0.01833861
-343.89848376	0.01804132
-343.86512735	0.01773210
-343.83177094	0.01751931
-343.79841454	0.01718167
-343.76505813	0.01652289
-343.73170172	0.01570828
-343.69834531	0.01455575
-343.66498890	0.01286545
-343.63163249	0.01049589
-343.59827608	0.00761863
-343.56491967	0.00431412
-343.53156326	0.00141528
-343.49820685	-0.00127911
-343.46485044	-0.00341360
-343.43149403	-0.00454017
-343.39813762	-0.00485324
-343.36478121	-0.00421453
-343.33142480	-0.00266803
-343.29806839	-0.00012675
-343.26471198	0.00298169
-343.23135557	0.00631560
-343.19799916	0.00931947
-343.16464275	0.01206817
-343.13128634	0.01394358
-343.09792994	0.01515716
-343.06457353	0.01552441
-343.03121712	0.01540627
-342.99786071	0.01444862
-342.96450430	0.01264174
-342.93114789	0.00962702
-342.89779148	0.00561081
-342.86443507	0.00095969
-342.83107866	-0.00380947
-342.79772225	-0.00821914
-342.76436584	-0.01176513
-342.73100943	-0.01430936
-342.69765302	-0.01550544
-342.66429661	-0.01550459
-342.63094020	-0.01464429
-342.59758379	-0.01266879
-342.56422738	-0.00998428
-342.53087097	-0.00677343
-342.49751456	-0.00303275
-342.46415815	0.00028798
-342.43080174	0.00333459
-342.39744534	0.00572774
-342.36408893	0.00751666
-342.33073252	0.00880187
-342.29737611	0.00992671
-342.26401970	0.01084156
-342.23066329	0.01136240
-342.19730688	0.01122336
-342.16395047	0.01037315
-342.13059406	0.00825813
-342.09723765	0.00504088
-342.06388124	0.00142992
-342.03052483	-0.00192007
-341.99716842	-0.00421104
-341.96381201	-0.00492831
-341.93045560	-0.00415713
-341.89709919	-0.00214922
-341.86374278	0.00046238
-341.83038637	0.00304858
-341.79702996	0.00522580
-341.76367355	0.00685447
-341.73031714	0.00818556
-341.69696074	0.00910557
-341.66360433	0.01009386
-341.63024792	0.01059823
-341.59689151	0.01122060
-341.56353510	0.01164753
-341.53017869	0.01229245
-341.49682228	0.01311017
-341.46346587	0.01426556
-341.43010946	0.01574046
-341.39675305	0.01722810
-341.36339664	0.01810895
-341.33004023	0.01850921
-341.29668382	0.01803954
-341.26332741	0.01699747
-341.22997100	0.01565514
-341.19661459	0.01408566
-341.16325818	0.01249730
-341.12990177	0.01042844
-341.09654536	0.00798209
-341.06318895	0.00488009
-341.02983255	0.00111353
-340.99647614	-0.00251615
-340.96311973	-0.00594933
-340.92976332	-0.00832336
-340.89640691	-0.00978642
-340.86305050	-0.00979991
-340.82969409	-0.00879037
-340.79633768	-0.00686932
-340.76298127	-0.00432850
-340.72962486	-0.00140549
-340.69626845	0.00202764
-340.66291204	0.00543870
-340.62955563	0.00876942
-340.59619922	0.01134938
-340.56284281	0.01270166
-340.52948640	0.01230632
-340.49612999	0.00996552
-340.46277358	0.00663765
-340.42941717	0.00265809
-340.39606076	-0.00105469
-340.36270435	-0.00429336
-340.32934795	-0.00685711
-340.29599154	-0.00891105
-340.26263513	-0.01052330
-340.22927872	-0.01166520
-340.19592231	-0.01216644
-340.16256590	-0.01173456
-340.12920949	-0.01058919
-340.09585308	-0.00888018
-340.06249667	-0.00706834
-340.02914026	-0.00551808
-339.99578385	-0.00475757
-339.96242744	-0.00520854
-339.92907103	-0.00635043
-339.89571462	-0.00808260
-339.86235821	-0.01002706
-339.82900180	-0.01145854
-339.79564539	-0.01201750
-339.76228898	-0.01123105
-339.72893257	-0.00895156
-339.69557616	-0.00486632
-339.66221975	0.00038364
-339.62886335	0.00622188
-339.59550694	0.01228260
-339.56215053	0.01801257
-339.52879412	0.02247737
-339.49543771	0.02524826
-339.46208130	0.02587916
-339.42872489	0.02453843
-339.39536848	0.02144721
-339.36201207	0.01741829
-339.32865566	0.01315528
-339.29529925	0.00880793
-339.26194284	0.00517150
-339.22858643	0.00199870
-339.19523002	-0.00093892
-339.16187361	-0.00387672
-339.12851720	-0.00596099
-339.09516079	-0.00718976
-339.06180438	-0.00669740
-339.02844797	-0.00388992
-338.99509156	0.00106947
-338.96173515	0.00801435
-338.92837875	0.01583164
-338.89502234	0.02369259
-338.86166593	0.02981280
-338.82830952	0.03342987
-338.79495311	0.03414160
-338.76159670	0.03193704
-338.72824029	0.02724981
-338.69488388	0.02100167
-338.66152747	0.01407030
-338.62817106	0.00705879
-338.59481465	0.00045618
-338.56145824	-0.00475863
-338.52810183	-0.00858958
-338.49474542	-0.01095224
-338.46138901	-0.01180531
-338.42803260	-0.01160084
-338.39467619	-0.01064756
-338.36131978	-0.00932335
-338.32796337	-0.00786695
-338.29460696	-0.00668788
-338.26125055	-0.00527992
-338.22789415	-0.00367550
-338.19453774	-0.00188414
-338.16118133	-0.00027145
-338.12782492	0.00096480
-338.09446851	0.00196096
-338.06111210	0.00264019
-338.02775569	0.00305940
-337.99439928	0.00348491
-337.96104287	0.00412502
-337.92768646	0.00505233
-337.89433005	0.00605983
-337.86097364	0.00723247
-337.82761723	0.00820563
-337.79426082	0.00895213
-337.76090441	0.00939700
-337.72754800	0.00966415
-337.69419159	0.00962456
-337.66083518	0.00912001
-337.62747877	0.00851148
-337.59412236	0.00735598
-337.56076595	0.00570630
-337.52740955	0.00360352
-337.49405314	0.00111753
-337.46069673	-0.00166016
-337.42734032	-0.00464829
-337.39398391	-0.00737937
-337.36062750	-0.00928397
-337.32727109	-0.00991117
-337.29391468	-0.00909856
-337.26055827	-0.00660253
-337.22720186	-0.00282301
-337.19384545	0.00156062
-337.16048904	0.00676060
-337.12713263	0.01156961
-337.09377622	0.01591785
-337.06041981	0.01949989
-337.02706340	0.02222432
-336.99370699	0.02382866
-336.96035058	0.02394622
-336.92699417	0.02272624
-336.89363776	0.01996337
-336.86028136	0.01612717
-336.82692495	0.01164778
-336.79356854	0.00718484
-336.76021213	0.00290477
-336.72685572	-0.00034896
-336.69349931	-0.00250914
-336.66014290	-0.00340240
-336.62678649	-0.00319414
-336.59343008	-0.00183901
-336.56007367	-0.00004911
-336.52671726	0.00214923
-336.49336085	0.00422637
-336.46000444	0.00584910
-336.42664803	0.00679885
-336.39329162	0.00695145
-336.35993521	0.00652782
-336.32657880	0.00578500
-336.29322239	0.00525367
-336.25986598	0.00544635
-336.22650957	0.00632473
-336.19315316	0.00782513
-336.15979676	0.00969636
-336.12644035	0.01112134
-336.09308394	0.01207773
-336.05972753	0.01214266
-336.02637112	0.01126821
-335.99301471	0.00990248
-335.95965830	0.00785632
-335.92630189	0.00548197
-335.89294548	0.00235822
-335.85958907	-0.00195603
-335.82623266	-0.00743330
-335.79287625	-0.01348591
-335.75951984	-0.01921960
-335.72616343	-0.02335857
-335.69280702	-0.02528934
-335.65945061	-0.02436861
-335.62609420	-0.02073328
-335.59273779	-0.01520169
-335.55938138	-0.00832772
-335.52602497	-0.00123276
-335.49266856	0.00550044
-335.45931216	0.01251587
-335.42595575	0.01962374
-335.39259934	0.02659674
-335.35924293	0.03299930
-335.32588652	0.03813224
-335.29253011	0.04149453
-335.25917370	0.04175463
-335.22581729	0.03902507
-335.19246088	0.03341779
-335.15910447	0.02547548
-335.12574806	0.01674729
-335.09239165	0.00796491
-335.05903524	-0.00011046
-335.02567883	-0.00730098
-334.99232242	-0.01291330
-334.95896601	-0.01679808
-334.92560960	-0.01885246
-334.89225319	-0.01907446
-334.85889678	-0.01738029
-334.82554037	-0.01415615
-334.79218396	-0.00995016
-334.75882756	-0.00524789
-334.72547115	-0.00065724
-334.69211474	0.00341329
-334.65875833	0.00697870
-334.62540192	0.00970661
-334.59204551	0.01140076
-334.55868910	0.01188980
-334.52533269	0.01117807
-334.49197628	0.00967456
-334.45861987	0.00766426
-334.42526346	0.00634845
-334.39190705	0.00619380
-334.35855064	0.00788308
-334.32519423	0.01150433
-334.29183782	0.01648606
-334.25848141	0.02225700
-334.22512500	0.02795753
-334.19176859	0.03282324
-334.15841218	0.03654735
-334.12505577	0.03900433
-334.09169936	0.04093890
-334.05834296	0.04208060
-334.02498655	0.04310648
-333.99163014	0.04427032
-333.95827373	0.04555298
-333.92491732	0.04695629
-333.89156091	0.04812808
-333.85820450	0.04917131
-333.82484809	0.05011259
-333.79149168	0.05113516
-333.75813527	0.05283922
-333.72477886	0.05574542
-333.69142245	0.06009731
-333.65806604	0.06585753
-333.62470963	0.07276703
-333.59135322	0.08053519
-333.55799681	0.08903534
-333.52464040	0.09720302
-333.49128399	0.10476242
-333.45792758	0.11128272
-333.42457117	0.11674025
-333.39121476	0.12101978
-333.35785836	0.12470665
-333.32450195	0.12849374
-333.29114554	0.13328444
-333.25778913	0.13939382
-333.22443272	0.14680256
-333.19107631	0.15467088
-333.15771990	0.16176582
-333.12436349	0.16520762
-333.09100708	0.16275751
-333.05765067	0.15131365
-333.02429426	0.12581207
-332.99093785	0.08324512
-332.95758144	0.01812252
-332.92422503	-0.07332395
-332.89086862	-0.19757889
-332.85751221	-0.34789066
-332.82415580	-0.52268816
-332.79079939	-0.71186768
-332.75744298	-0.91212705
-332.72408657	-1.09242652
-332.69073017	-1.23936858
-332.65737376	-1.33168101
-332.62401735	-1.35432285
-332.59066094	-1.29824331
-332.55730453	-1.16661520
-332.52394812	-0.97190433
-332.49059171	-0.72095576
-332.45723530	-0.45175892
-332.42387889	-0.17916926
-332.39052248	0.07489607
-332.35716607	0.30361945
-332.32380966	0.49038833
-332.29045325	0.64229735
-332.25709684	0.76003842
-332.22374043	0.84863108
-332.19038402	0.90223710
-332.15702761	0.92350087
-332.12367120	0.91354228
-332.09031479	0.87644496
-332.05695838	0.82298240
-332.02360197	0.76100177
-331.99024557	0.69863465
-331.95688916	0.63667051
-331.92353275	0.57800337
-331.89017634	0.51744335
-331.85681993	0.45391355
-331.82346352	0.38717801
-331.79010711	0.32341671
-331.75675070	0.26413279
-331.72339429	0.21292897
-331.69003788	0.16810142
-331.65668147	0.12996952
-331.62332506	0.09453765
-331.58996865	0.06025034
-331.55661224	0.02612747
-331.52325583	-0.00615917
-331.48989942	-0.03657265
-331.45654301	-0.06406394
-331.42318660	-0.08870705
-331.38983019	-0.10836748
-331.35647378	-0.12278612
-331.32311737	-0.13071335
-331.28976097	-0.13207077
-331.25640456	-0.12767156
-331.22304815	-0.11852548
-331.18969174	-0.10674983
-331.15633533	-0.09323275
-331.12297892	-0.07976465
-331.08962251	-0.06698246
-331.05626610	-0.05562953
-331.02290969	-0.04570031
-330.98955328	-0.03736864
-330.95619687	-0.03030776
-330.92284046	-0.02507968
-330.88948405	-0.02143936
-330.85612764	-0.01972329
-330.82277123	-0.01917349
-330.78941482	-0.01938009
-330.75605841	-0.01960542
-330.72270200	-0.01900062
-330.68934559	-0.01769613
-330.65598918	-0.01532321
-330.62263277	-0.01181431
-330.58927637	-0.00805859
-330.55591996	-0.00447536
-330.52256355	-0.00238264
-330.48920714	-0.00185682
-330.45585073	-0.00308485
-330.42249432	-0.00542694
-330.38913791	-0.00853340
-330.35578150	-0.01220227
-330.32242509	-0.01634575
-330.28906868	-0.02055745
-330.25571227	-0.02407184
-330.22235586	-0.02663109
-330.18899945	-0.02811389
-330.15564304	-0.02936552
-330.12228663	-0.03100986
-330.08893022	-0.03385281
-330.05557381	-0.03788477
-330.02221740	-0.04340949
-329.98886099	-0.04964987
-329.95550458	-0.05646746
-329.92214817	-0.06317432
-329.88879177	-0.06963782
-329.85543536	-0.07571371
-329.82207895	-0.08190310
-329.78872254	-0.08780722
-329.75536613	-0.09329753
-329.72200972	-0.09731427
-329.68865331	-0.09899697
-329.65529690	-0.09781252
-329.62194049	-0.09419849
-329.58858408	-0.08853414
