# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-363.24520129	0.00027235
-363.21184488	-0.00022584
-363.17848847	-0.00082431
-363.14513206	-0.00160907
-363.11177565	-0.00242783
-363.07841924	-0.00328700
-363.04506283	-0.00411454
-363.01170642	-0.00499074
-362.97835001	-0.00560063
-362.94499360	-0.00598836
-362.91163719	-0.00609267
-362.87828078	-0.00573355
-362.84492437	-0.00528697
-362.81156796	-0.00449774
-362.77821155	-0.00362370
-362.74485514	-0.00268083
-362.71149873	-0.00191448
-362.67814232	-0.00122074
-362.64478591	-0.00076252
-362.61142950	-0.00039944
-362.57807309	-0.00030958
-362.54471669	-0.00028838
-362.51136028	-0.00025567
-362.47800387	-0.00046569
-362.44464746	-0.00073494
-362.41129105	-0.00094103
-362.37793464	-0.00124050
-362.34457823	-0.00154694
-362.31122182	-0.00157779
-362.27786541	-0.00186815
-362.24450900	-0.00194769
-362.21115259	-0.00200669
-362.17779618	-0.00198031
-362.14443977	-0.00189722
-362.11108336	-0.00172359
-362.07772695	-0.00157725
-362.04437054	-0.00142134
-362.01101413	-0.00120487
-361.97765772	-0.00097488
-361.94430131	-0.00070568
-361.91094490	-0.00048505
-361.87758849	-0.00017917
-361.84423209	-0.00002113
-361.81087568	0.00009009
-361.77751927	0.00015689
-361.74416286	0.00045976
-361.71080645	0.00039003
-361.67745004	0.00042680
-361.64409363	0.00033144
-361.61073722	0.00025456
-361.57738081	0.00021089
-361.54402440	0.00008314
-361.51066799	0.00012126
-361.47731158	-0.00007556
-361.44395517	-0.00010217
-361.41059876	-0.00020896
-361.37724235	-0.00030883
-361.34388594	-0.00045993
-361.31052953	-0.00064306
-361.27717312	-0.00088837
-361.24381671	-0.00107389
-361.21046030	-0.00119490
-361.17710389	-0.00150838
-361.14374749	-0.00174575
-361.11039108	-0.00200950
-361.07703467	-0.00223775
-361.04367826	-0.00231175
-361.01032185	-0.00240415
-360.97696544	-0.00248976
-360.94360903	-0.00255195
-360.91025262	-0.00231955
-360.87689621	-0.00216848
-360.84353980	-0.00198330
-360.81018339	-0.00163927
-360.77682698	-0.00135382
-360.74347057	-0.00102529
-360.71011416	-0.00059194
-360.67675775	-0.00032764
-360.64340134	-0.00007431
-360.61004493	0.00035780
-360.57668852	0.00072091
-360.54333211	0.00099713
-360.50997570	0.00114378
-360.47661930	0.00132829
-360.44326289	0.00142611
-360.40990648	0.00127468
-360.37655007	0.00109987
-360.34319366	0.00085220
-360.30983725	0.00057113
-360.27648084	0.00031966
-360.24312443	-0.00009430
-360.20976802	-0.00046550
-360.17641161	-0.00079392
-360.14305520	-0.00113698
-360.10969879	-0.00138911
-360.07634238	-0.00173811
-360.04298597	-0.00183285
-360.00962956	-0.00204595
-359.97627315	-0.00229325
-359.94291674	-0.00231878
-359.90956033	-0.00241755
-359.87620392	-0.00247221
-359.84284751	-0.00246264
-359.80949110	-0.00237484
-359.77613470	-0.00237205
-359.74277829	-0.00233099
-359.70942188	-0.00229707
-359.67606547	-0.00228132
-359.64270906	-0.00207290
-359.60935265	-0.00204795
-359.57599624	-0.00185965
-359.54263983	-0.00184635
-359.50928342	-0.00170627
-359.47592701	-0.00161452
-359.44257060	-0.00148204
-359.40921419	-0.00120307
-359.37585778	-0.00113291
-359.34250137	-0.00105003
-359.30914496	-0.00108586
-359.27578855	-0.00130848
-359.24243214	-0.00188166
-359.20907573	-0.00254627
-359.17571932	-0.00372195
-359.14236291	-0.00522972
-359.10900650	-0.00704637
-359.07565010	-0.00922473
-359.04229369	-0.01157226
-359.00893728	-0.01384889
-358.97558087	-0.01609539
-358.94222446	-0.01763268
-358.90886805	-0.01859043
-358.87551164	-0.01861705
-358.84215523	-0.01783663
-358.80879882	-0.01647192
-358.77544241	-0.01474534
-358.74208600	-0.01347160
-358.70872959	-0.01321298
-358.67537318	-0.01493253
-358.64201677	-0.01944877
-358.60866036	-0.02725008
-358.57530395	-0.03830243
-358.54194754	-0.05193445
-358.50859113	-0.06813989
-358.47523472	-0.08510040
-358.44187831	-0.10111589
-358.40852190	-0.11379412
-358.37516550	-0.12164571
-358.34180909	-0.12210269
-358.30845268	-0.11461320
-358.27509627	-0.09893681
-358.24173986	-0.07526285
-358.20838345	-0.04564649
-358.17502704	-0.01293775
-358.14167063	0.01889903
-358.10831422	0.04815824
-358.07495781	0.07099122
-358.04160140	0.08631019
-358.00824499	0.09371465
-357.97488858	0.09410420
-357.94153217	0.08872063
-357.90817576	0.07876382
-357.87481935	0.06620860
-357.84146294	0.05145161
-357.80810653	0.03592036
-357.77475012	0.02022456
-357.74139371	0.00519016
-357.70803730	-0.00884626
-357.67468090	-0.02063261
-357.64132449	-0.02982371
-357.60796808	-0.03570918
-357.57461167	-0.03880070
-357.54125526	-0.03966755
-357.50789885	-0.03895379
-357.47454244	-0.03729110
-357.44118603	-0.03498559
-357.40782962	-0.03236306
-357.37447321	-0.02919380
-357.34111680	-0.02570895
-357.30776039	-0.02169589
-357.27440398	-0.01769885
-357.24104757	-0.01375869
