# Menlo Systems Time Domain Spectrometer
# Program Version 1.4.7 
#  Start: -375 ps, Average over 1200 waveforms. Date: 2022-10-25
# Time [ps] 	 THz Signal [a.u.]
-365.38001149	-0.00809184
-365.34665508	-0.00473764
-365.31329868	-0.00075809
-365.27994227	0.00416752
-365.24658586	0.01050232
-365.21322945	0.01751398
-365.17987304	0.02428633
-365.14651663	0.02984546
-365.11316022	0.03379431
-365.07980381	0.03658425
-365.04644740	0.03815597
-365.01309099	0.03919240
-364.97973458	0.04035149
-364.94637817	0.04194449
-364.91302176	0.04420195
-364.87966535	0.04735781
-364.84630894	0.05188128
-364.81295253	0.05801458
-364.77959612	0.06549460
-364.74623971	0.07406215
-364.71288330	0.08386499
-364.67952689	0.09495689
-364.64617049	0.10671947
-364.61281408	0.11891627
-364.57945767	0.13171746
-364.54610126	0.14495095
-364.51274485	0.15857002
-364.47938844	0.17280698
-364.44603203	0.18809077
-364.41267562	0.20485914
-364.37931921	0.22286216
-364.34596280	0.24212273
-364.31260639	0.26333914
-364.27924998	0.28648245
-364.24589357	0.31165897
-364.21253716	0.33835307
-364.17918075	0.36746080
-364.14582434	0.39858933
-364.11246793	0.43141511
-364.07911152	0.46553761
-364.04575511	0.50166387
-364.01239870	0.53898407
-363.97904229	0.57773856
-363.94568589	0.61752599
-363.91232948	0.65891468
-363.87897307	0.70120924
-363.84561666	0.74350221
-363.81226025	0.78459844
-363.77890384	0.82404022
-363.74554743	0.85952834
-363.71219102	0.88888121
-363.67883461	0.90701505
-363.64547820	0.90829853
-363.61212179	0.88318821
-363.57876538	0.81934447
-363.54540897	0.70161627
-363.51205256	0.50704462
-363.47869615	0.21250407
-363.44533974	-0.21464037
-363.41198333	-0.79148696
-363.37862692	-1.55360816
-363.34527051	-2.50019187
-363.31191410	-3.62542482
-363.27855769	-4.88282496
-363.24520129	-6.22545742
-363.21184488	-7.53572772
-363.17848847	-8.70919975
-363.14513206	-9.59178337
-363.11177565	-10.06612298
-363.07841924	-10.00543230
-363.04506283	-9.33986932
-363.01170642	-8.07052838
-362.97835001	-6.25326399
-362.94499360	-4.05982942
-362.91163719	-1.64775726
-362.87828078	0.73005992
-362.84492437	2.92947701
-362.81156796	4.79978911
-362.77821155	6.30212948
-362.74485514	7.42000354
-362.71149873	8.17723785
-362.67814232	8.58676151
-362.64478591	8.66760728
-362.61142950	8.42736356
-362.57807309	7.88960172
-362.54471669	7.12261945
-362.51136028	6.20749909
-362.47800387	5.25397840
-362.44464746	4.34854352
-362.41129105	3.55997851
-362.37793464	2.88210459
-362.34457823	2.30718951
-362.31122182	1.79541172
-362.27786541	1.33749366
-362.24450900	0.93047086
-362.21115259	0.59630371
-362.17779618	0.34836077
-362.14443977	0.18737845
-362.11108336	0.08627650
-362.07772695	0.01320915
-362.04437054	-0.06183691
-362.01101413	-0.15080621
-361.97765772	-0.25532399
-361.94430131	-0.36907273
-361.91094490	-0.48712195
-361.87758849	-0.60238092
-361.84423209	-0.70939099
-361.81087568	-0.79439311
-361.77751927	-0.84691090
-361.74416286	-0.85982089
-361.71080645	-0.83439458
-361.67745004	-0.77571366
-361.64409363	-0.69022224
-361.61073722	-0.58431543
-361.57738081	-0.46141798
-361.54402440	-0.33308718
-361.51066799	-0.20958068
-361.47731158	-0.10270855
-361.44395517	-0.01617040
-361.41059876	0.04787687
-361.37724235	0.09046203
-361.34388594	0.11219048
-361.31052953	0.11438523
-361.27717312	0.10029167
-361.24381671	0.07622345
-361.21046030	0.04988960
-361.17710389	0.02585741
-361.14374749	0.00639606
-361.11039108	-0.00910003
-361.07703467	-0.02046850
-361.04367826	-0.02759886
-361.01032185	-0.03123080
-360.97696544	-0.03500514
-360.94360903	-0.04217916
-360.91025262	-0.05363965
-360.87689621	-0.06649685
-360.84353980	-0.07748605
-360.81018339	-0.08639038
-360.77682698	-0.09663145
-360.74347057	-0.11184776
-360.71011416	-0.13163981
-360.67675775	-0.15124498
-360.64340134	-0.16639766
-360.61004493	-0.17604822
-360.57668852	-0.18385999
-360.54333211	-0.19357053
-360.50997570	-0.20733370
-360.47661930	-0.22386363
-360.44326289	-0.24186103
-360.40990648	-0.25986222
-360.37655007	-0.27678379
-360.34319366	-0.28933831
-360.30983725	-0.29553167
-360.27648084	-0.29526391
-360.24312443	-0.29124970
-360.20976802	-0.28713725
-360.17641161	-0.28371111
-360.14305520	-0.27933819
-360.10969879	-0.27144258
-360.07634238	-0.26023339
-360.04298597	-0.24802374
-360.00962956	-0.23679299
-359.97627315	-0.22594770
-359.94291674	-0.21232215
-359.90956033	-0.19225446
-359.87620392	-0.16382491
-359.84284751	-0.12689523
-359.80949110	-0.08505410
-359.77613470	-0.04073809
-359.74277829	0.00213992
-359.70942188	0.04101293
-359.67606547	0.07296102
-359.64270906	0.09916573
-359.60935265	0.12010048
-359.57599624	0.13643161
-359.54263983	0.14833332
-359.50928342	0.15639265
-359.47592701	0.16064626
-359.44257060	0.16072246
-359.40921419	0.15667360
-359.37585778	0.14887057
-359.34250137	0.13819405
-359.30914496	0.12592228
-359.27578855	0.11238859
-359.24243214	0.09720705
-359.20907573	0.08070705
-359.17571932	0.06459158
-359.14236291	0.05077018
-359.10900650	0.03961512
-359.07565010	0.03052119
-359.04229369	0.02249908
-359.00893728	0.01511235
-358.97558087	0.00824235
-358.94222446	0.00120265
-358.90886805	-0.00732604
-358.87551164	-0.01749326
-358.84215523	-0.02902888
-358.80879882	-0.04106024
-358.77544241	-0.05314733
-358.74208600	-0.06511449
-358.70872959	-0.07707265
-358.67537318	-0.08725424
-358.64201677	-0.09379840
-358.60866036	-0.09569723
-358.57530395	-0.09359855
-358.54194754	-0.08903880
-358.50859113	-0.08305389
-358.47523472	-0.07665460
-358.44187831	-0.07005896
-358.40852190	-0.06372293
-358.37516550	-0.05770897
-358.34180909	-0.05116673
-358.30845268	-0.04293670
-358.27509627	-0.03299469
-358.24173986	-0.02182084
-358.20838345	-0.01108585
-358.17502704	-0.00004530
-358.14167063	0.01157583
-358.10831422	0.02362767
-358.07495781	0.03456585
-358.04160140	0.04331584
-358.00824499	0.04837970
-357.97488858	0.04978527
-357.94153217	0.04894657
-357.90817576	0.04823290
-357.87481935	0.04894258
-357.84146294	0.05162060
-357.80810653	0.05562989
-357.77475012	0.05917089
-357.74139371	0.06009233
-357.70803730	0.05715984
-357.67468090	0.05135358
-357.64132449	0.04352113
-357.60796808	0.03510950
-357.57461167	0.02681656
-357.54125526	0.01879243
-357.50789885	0.01098618
-357.47454244	0.00345961
-357.44118603	-0.00330096
-357.40782962	-0.00833176
-357.37447321	-0.01143429
-357.34111680	-0.01229463
-357.30776039	-0.01114098
-357.27440398	-0.00835171
-357.24104757	-0.00471585
-357.20769116	-0.00071582
-357.17433475	0.00302296
-357.14097834	0.00605206
-357.10762193	0.00840178
-357.07426552	0.00996651
-357.04090911	0.00951170
-357.00755271	0.00676698
-356.97419630	0.00161300
-356.94083989	-0.00458161
-356.90748348	-0.00963208
-356.87412707	-0.01098239
-356.84077066	-0.00773944
-356.80741425	-0.00007664
-356.77405784	0.01065765
-356.74070143	0.02188692
-356.70734502	0.03209921
-356.67398861	0.03935336
-356.64063220	0.04331642
-356.60727579	0.04519894
-356.57391938	0.04647485
-356.54056297	0.04783472
-356.50720656	0.04933256
-356.47385015	0.05041173
-356.44049374	0.05051146
-356.40713733	0.04963652
-356.37378092	0.04801995
-356.34042451	0.04664310
-356.30706811	0.04572580
-356.27371170	0.04539179
-356.24035529	0.04505440
-356.20699888	0.04459519
-356.17364247	0.04354720
-356.14028606	0.04221520
-356.10692965	0.04105102
-356.07357324	0.04103578
-356.04021683	0.04246626
-356.00686042	0.04578543
-355.97350401	0.05029956
-355.94014760	0.05523681
-355.90679119	0.05949730
-355.87343478	0.06156048
-355.84007837	0.06018620
-355.80672196	0.05536384
-355.77336555	0.04763670
-355.74000914	0.03808839
-355.70665273	0.02855153
-355.67329632	0.02080531
-355.63993991	0.01546190
-355.60658351	0.01319718
-355.57322710	0.01376583
-355.53987069	0.01607030
-355.50651428	0.01931698
-355.47315787	0.02283403
-355.43980146	0.02626408
-355.40644505	0.02865102
-355.37308864	0.02952019
-355.33973223	0.02886402
-355.30637582	0.02713095
-355.27301941	0.02538931
-355.23966300	0.02424109
-355.20630659	0.02411961
-355.17295018	0.02439107
-355.13959377	0.02447824
-355.10623736	0.02331344
-355.07288095	0.02072159
-355.03952454	0.01746605
-355.00616813	0.01503191
-354.97281172	0.01506838
-354.93945531	0.01896391
-354.90609891	0.02702097
-354.87274250	0.03809570
-354.83938609	0.05131342
-354.80602968	0.06395694
-354.77267327	0.07376659
-354.73931686	0.07957469
-354.70596045	0.08162199
-354.67260404	0.08024314
-354.63924763	0.07525578
-354.60589122	0.06787750
